   ncalls,  tottime,  percall,  cumtime,  percall, filename:lineno(function)
        1,    0.000,    0.000,    0.000,    0.000, Image.py:70(DecompressionBombError)
        1,    0.000,    0.000,    0.000,    0.000, Image.py:74(_imaging_not_installed)
        1,    0.000,    0.000,    0.001,    0.001, ImageEnhance.py:21(<module>)
        1,    0.000,    0.000,    0.000,    0.000, ImageEnhance.py:24(_Enhance)
        1,    0.000,    0.000,    0.000,    0.000, ImageEnhance.py:39(Color)
        1,    0.000,    0.000,    0.000,    0.000, ImageEnhance.py:57(Contrast)
        1,    0.000,    0.000,    0.000,    0.000, ImageEnhance.py:74(Brightness)
        1,    0.000,    0.000,    0.000,    0.000, ImageEnhance.py:90(Sharpness)
        1,    0.000,    0.000,    0.000,    0.000, ImageFilter.py:111(MinFilter)
        1,    0.000,    0.000,    0.000,    0.000, ImageFilter.py:126(MaxFilter)
        1,    0.000,    0.000,    0.000,    0.000, ImageFilter.py:141(ModeFilter)
        1,    0.000,    0.000,    0.000,    0.000, ImageFilter.py:159(GaussianBlur)
        1,    0.000,    0.000,    0.000,    0.000, ImageFilter.py:174(BoxBlur)
        1,    0.000,    0.000,    0.000,    0.000, ImageFilter.py:18(<module>)
        1,    0.000,    0.000,    0.000,    0.000, ImageFilter.py:195(UnsharpMask)
        1,    0.000,    0.000,    0.000,    0.000, ImageFilter.py:221(BLUR)
        1,    0.000,    0.000,    0.000,    0.000, ImageFilter.py:234(CONTOUR)
        1,    0.000,    0.000,    0.000,    0.000, ImageFilter.py:245(DETAIL)
        1,    0.000,    0.000,    0.000,    0.000, ImageFilter.py:256(EDGE_ENHANCE)
        1,    0.000,    0.000,    0.000,    0.000, ImageFilter.py:267(EDGE_ENHANCE_MORE)
        1,    0.000,    0.000,    0.000,    0.000, ImageFilter.py:278(EMBOSS)
        1,    0.000,    0.000,    0.000,    0.000, ImageFilter.py:28(Filter)
        1,    0.000,    0.000,    0.000,    0.000, ImageFilter.py:289(FIND_EDGES)
        1,    0.000,    0.000,    0.000,    0.000, ImageFilter.py:300(SHARPEN)
        1,    0.000,    0.000,    0.000,    0.000, ImageFilter.py:311(SMOOTH)
